URUT,R101,R102,R105,R108,R301,R302,R303,R304,R305,JAMMULAI,MENITMULAI,JAMAKHIR,MENITAKHIR,R1501,R1502,R1503,R1504,R1505,R1506,R1507A,R1507B,R1507C,R1508A,R1508B,R1509,R1510,R1511A,R1511B,R1512A,R1512B,R1513,R1514,R1515,R1601,R1602IA,R1602IB,R1602IC,R1602ID,R1602IE,R1602IF,R1602II,R1603,R1604IK2,R1604IIK2,R1604IIIK2,R1604IK3,R1604IIK3,R1604IIIK3,R1604IK4,R1604IIK4,R1604IIIK4,R1605A,R1605B,R1605C,R1605D,R1605E,R1605F,R1605G,R1606,R1607IK2,R1607IK3,R1607iiK2,R1607iiK3,R1607iiiK2,R1607iiiK3,R1608A,R1608B,R1608C,R1608D,R1608E,R1609,R1610A,R1610B,R1610C,R1610D,R1610E,R1701A,R1701B,R1701C,R1701D,R1701E,R1701F,R1701G,R1701H,R1701I,R1701J,R1701K,R1801A,R1801B,R1801C,KABU,FWT_TAHUN,Sanitasi,Air,Lima.satu,Lima.dua,Lima.tiga,Enam.satu,Enam.dua,Enam.tiga,Tujuh.satu,Tujuh.dua,Tujuh.tiga,Delapan.satu,Delapan.dua,Delapan.tiga,Sembilan.satu,Sembilan.dua,Sembilan.tiga,Airlayak,R401,R403,R404,R405,R406A,R406B,R407,R408,R409,R410,R411,R412,R413,R504,R505,R506,R507,R508,R509,R510,R511A,R511B,R511C,R512,R513,R514,R515,R603,R604,R605,R606,R607,R608,R609,R610,R611,R612,R613,R614,R615,R616,R617,R618,R619,R620,R703,R704,R705,R706,R707,R708,R709A,R709B,R709C,R709D,R709E,R709F,R709G,R709H,R710,R711A,R711B,R711C,R711D,R711E,R711F,R711G,R711X,R803,R804A,R804B,R804C,R804D,R804E,R804F,R804G,R805,R806,R807,R808,R809,R810,R901,R902,R903A,R903B,R904A,R904B,R905,R906,R907A,R907B,R907C,R907D,R907E,R907F,R907G,R907H,R907I,R907J,R907K,R907L,R907M,R908,R909,R910,R911,R912,R913,R914,R915,R916,R917,R918,R919,R920,R921A,R921B,R921Bi,R921Bii,R922A,R922B,R922C,R922D,R922E,R922F,R922G,R922H,R922I,R922J,R1001A,R1001B,R1002A,R1002B,R1003A,R1003B,R1004A,R1004B,R1005,R1006,R1007A,R1007B,R1007C,R1007D,R1008A,R1008B,R1008C,R1008D,R1008E,R1008F,R1009A,R1009B,R1009C,R1009D,R1009E,R1009F,R1009G,R1009H,R1101A,R1101B,R1101C,R1101D,R1102,R1103,R1104,R1105A,R1105B,R1201A,R1201B,R1202A,R1202B,R1203,R1204A,R1204B,R1205,R1206A,R1206B,R1207,R1208A,R1208B,R1209A,R1209B,R1301,R1302A,R1302B,R1302C,R1303A,R1303B,R1303C,R1401,R1402,R1403,R1404,R1405,R1406,R1407,R1408,R1409
3.50120025124604E+017,35,1,1,4,5,1,4,4,1,10,10,10,20,1,1,110,4,1,2,1,1,1,1, , ,1,6,1,6,1,1,1,4,5, , , , , , , ,5, , , , , , , , , ,5,5,5,5,5,5,5,5, , , , , , ,1,5,5,5,1,5, , , , , ,1,1,5,5,1,1,1,1,5,5,1,1,4, ,3501,439.312377929688,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,5,6,1,1,10,12,2, , ,1, ,4, , , , , , , , , , , , , , , ,1,1,2,1,35,5, , , , , , , , , , , , ,1,1,3,5,1, ,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,5, , , , , , , , , , , , , ,2,28,35,1,1,1,1, ,1,1,1,1,1,1,1,1,1,0,0,0,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3.50120025124607E+017,35,1,1,7,4,1,3,2,1,19,15,19,55,2,1,72,4,1,2,1,1,1,2, , ,1,5,1,5,1,1,1,4,5, , , , , , , ,5, , , , , , , , , ,1,5,5,5,5,5,5,5, , , , , , ,5,5,5,5,5,5, , , , , ,5,1,5,5,5,5,5,1,5,5,5,1,2,6,3501,333.719177246094,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,1,12,11,3, , ,1, ,4, , , , , , , , , , , , , , , ,1,0,2,1,35,5, , , , , , , , , , , , ,1,1,7,1,1, ,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5,5, , , , ,1,38,35,1,1,1,2, , , , , , , , , , , , , , , ,1,1,1,2,2,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3.50120025163603E+017,35,1,1,3,7,1,6,6,1,10,25,11,47,3,1,72,2,1,6,1,1,1,6,1,1,3,6,1,6,1,1,1,9,5, , , , , , , ,5, , , , , , , , , ,1,1,5,5,5,5,5,5, , , , , , ,5,5,5,5,5,5, , , , , ,5,1,5,5,5,5,1,1,5,5,5,1,2,7,3501,232.310989379883,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,5,6,1,2,6,14,0, , ,2, ,4, , , , , , , , , , , , , , , ,1,1,1,1,35,5, , , , , , , , , , , , ,1,5, , ,5,5, , , , , , , , , ,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,5,3, , , , ,4,9,35,1,1,1,2, , , , , , , , , , , , , , , ,1,1,1,1,4,1,3,1,1,1,1,1,1,9,3,6,1,1,1,5,1,5,1,1,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3.50120025163605E+017,35,1,1,5,5,1,4,4,1,10,47,11,15,2,1,115,4,1,2,1,1,1,1, , ,1,3, ,3, ,1,1,4,5, , , , , , , ,5, , , , , , , , , ,1,5,5,5,5,5,5,5, , , , , , ,5,5,5,5,5,5, , , , , ,5,1,5,5,5,5,1,1,5,5,5,2,1,6,3501,488.830780029297,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,5,6,1,1,7,12,2, , ,2, ,4, , , , , , , , , , , , , , , ,1,1,2,1,35,5, , , , , , , , , , , , ,1,1,3,5,1, ,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,5, , , , , , , , , , , , , ,4,32,21,71,1,1,2, , , , , , , , , , , , , , , ,1,1,1,1,4,1,3,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3.50120025163607E+017,35,1,1,7,6,1,5,5,2,12,32,13,45,2,2,72,4,1,2,1,1,1,1, , ,1,3, ,3, ,1,1,4,5, , , , , , , ,5, , , , , , , , , ,1,5,1,5,5,5,5,5, , , , , , ,1,5,1,5,5,5, , , , , ,5,1,5,5,1,1,1,1,5,5,5,1,4, ,3501,82.5285873413086,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,1,2,10,12,2, , ,2, ,1,3, , , , , , , , , , , , , , ,5, , , , ,5, , , , , , , , , , , , ,1,5, , ,1, ,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,5, , , , , , , , , , , , , ,4,29,35,1,1,1,2, , , , , , , , , , , , , , , ,1,1,1,1,4,1,3,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3.50120025163609E+017,35,1,1,9,10,1,9,9,2,10,40,12,0,2,1,115,4,1,6,1,1,1,6,1,1,3,6,1,6,1,5,1,9,5, , , , , , , ,5, , , , , , , , , ,5,5,5,5,5,5,5,1,1,400000,0,0,0,0,5,5,5,5,5,5, , , , , ,5,1,5,5,5,5,5,1,5,5,5,2,1,3,3501,29.1738224029541,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,9,6,1,1,4,12,2, , ,1, ,4, , , , , , , , , , , , , , , ,5, , , , ,5, , , , , , , , , , , , ,1,1,3,5,1, ,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,5, , , , , , , , , , , , , ,8,35,35,1,1,1,2, , , , , , , , , , , , , , , ,1,1,1,1,4,1,3,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3.50120025185604E+017,35,1,1,4,3,1,2,2,1,14,30,15,20,1,1,72,4,1,2,1,1,1,5,2,1,3,5,2,5,2,1,1,4,5, , , , , , , ,5, , , , , , , , , ,5,5,5,5,5,5,5,5, , , , , , ,5,5,5,5,5,5, , , , , ,5,1,5,5,5,5,5,1,5,5,5,1,1,6,3501,361.132049560547,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,6,1,1,10,12,2, , ,1, ,4, , , , , , , , , , , , , , , ,1,1,1,7,35,5, , , , , , , , , , , , ,1,5, , ,5,5, , , , , , , , , ,0,0,0,0,0,0,0,1,5, , , , , , , , , , , , , ,2,28,35,1,1,1,1, ,0,1,1,1,1,1,1,1,0,0,0,0,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3.50120025185606E+017,35,1,1,6,5,1,4,4,2,2,14,3,5,1,2,90,4,1,6,1,1,1,5,2,1,3,5,2,5,2,1,1,4,5, , , , , , , ,5, , , , , , , , , ,5,5,5,5,5,5,5,5, , , , , , ,5,5,5,5,5,5, , , , , ,5,1,5,5,5,5,1,1,5,5,5,1,2,7,3501,393.734893798828,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,5,6,1,1,5,12,2, , ,1, ,4, , , , , , , , , , , , , , , ,5, , , , ,5, , , , , , , , , , , , ,5, , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,5, , , , , , , , , , , , , ,3,25,35,1,1,2,1, ,1,1,1,1,1,1,1,1,0,0,0,0,0,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3.50120025185608E+017,35,1,1,8,4,1,3,2,1,9,35,10,45,1,1,54,4,1,6,1,1,1,1, , ,1,5,2,5,2,1,1,4,5, , , , , , , ,5, , , , , , , , , ,1,1,5,5,5,5,5,5, , , , , , ,5,5,5,5,5,5, , , , , ,5,5,5,5,5,5,1,1,5,5,5,1,1,9,3501,226.367630004883,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,3,1,1,1,12,3, , ,1, ,4, , , , , , , , , , , , , , , ,5, , , , ,5, , , , , , , , , , , , ,1,1,7,5,5,5, , , , , , , , , ,0,0,0,0,0,0,0,1,5, , , , , , , , , , , , , ,2,36,35,1,1,1,1, ,1,1,1,1,1,1,1,1,0,1,1,1,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3.50120025185609E+017,35,1,1,9,4,1,3,2,1,9,8,10,13,1,3,60,4,1,2,1,1,4,2, , ,2,5,1,5,1,1,1,4,5, , , , , , , ,5, , , , , , , , , ,5,5,5,5,5,5,5,5, , , , , , ,5,5,5,5,5,5, , , , , ,5,1,5,5,5,5,5,1,5,5,5,1,2,6,3501,226.367630004883,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,3,1,1,10,14,0, , ,1, ,4, , , , , , , , , , , , , , , ,5, , , , ,5, , , , , , , , , , , , ,1,5, , ,5,5, , , , , , , , , ,0,0,0,0,0,0,0,1,5, , , , , , , , , , , , , ,2,4,35,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,0,5, , , , , , , , , , , ,1,1,4,4,0,5,5,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3.5012002521661E+017,35,1,1,10,3,1,2,2,1,11,42,12,45,1,1,64,4,1,2,1,4,4,7,2,1,3,7,2,7,2,1,1,4,5, , , , , , , ,1,0,0,0,0,0,0,2,5000,1,5,5,5,5,5,5,5,5, , , , , , ,5,5,5,5,5,5, , , , , ,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3501,233.800384521484,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,3,3,1,1,2,11,4, , ,1, ,1,3, , , , , , , , , , , , , , ,5, , , , ,5, , , , , , , , , , , , ,5, , , , , , , , , , , , , , ,0,0,0,0,0,0,0,1,5, , , , , , , , , , , , , ,2,49,35,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3.50190010020603E+017,35,1,2,3,3,1,2,2,1,9,25,10,20,1,1,104,4,1,2,1,1,4,2, , ,2,3, ,3, ,1,1,4,5, , , , , , , ,1,0,0,0,2.5,5000,1,0,0,0,5,5,5,5,5,5,5,5, , , , , , ,5,5,5,5,5,5, , , , , ,5,1,5,5,5,1,5,1,5,5,5,1,1,6,3501,210.883483886719,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,2,6,10,4, , ,1, ,1,3, , , , , , , , , , , , , , ,1,2,5,7,35,5, , , , , , , , , , , , ,5, , , , , , , , , , , , , , ,0,0,0,0,0,0,0,1,5, , , , , , , , , , , , , ,2,51,35,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3.50190010020605E+017,35,1,2,5,5,1,4,3,1,12,45,13,50,1,1,105,4,3,9,1,1,4,3, ,1,2,3, ,3, ,1,1,9,5, , , , , , , ,1,0,0,0,3,6500,1,0,0,0,5,5,5,5,5,5,5,5, , , , , , ,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,3501,184.712844848633,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,5,3,1,1,5,10,4, , ,1, ,4, , , , , , , , , , , , , , , ,1,0,1,7,33,5, , , , , , , , , , , , ,5, , , , , , , , , , , , , , ,0,0,0,1,0,0,0,0,5, , , , , , , , , , , , , ,2,57,35,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
